NO,Tanggal,Kurs,Return
444,31/10/2017,13572,-0.000589275
445,01/11/2017,13592,0.001472537
446,02/11/2017,13562,-0.00220962
447,03/11/2017,13500,-0.004582079
448,06/11/2017,13529,0.002145844
449,07/11/2017,13504,-0.001849592
450,08/11/2017,13524,0.001479947
451,09/11/2017,13514,-0.0007397
452,10/11/2017,13514,0
453,13/11/2017,13555,0.003029298
454,14/11/2017,13542,-0.000959516
455,15/11/2017,13539,-0.000221558
456,16/11/2017,13538,-7.38634E-05
457,17/11/2017,13517,-0.001552394
458,20/11/2017,13529,0.000887377
459,21/11/2017,13544,0.001108115
460,22/11/2017,13523,-0.001551705
461,23/11/2017,13503,-0.001480057
462,24/11/2017,13506,0.000222148
463,27/11/2017,13511,0.000370137
464,28/11/2017,13527,0.00118352
465,29/11/2017,13515,-0.000887508
466,30/11/2017,13514,-7.39946E-05
467,04/12/2017,13527,0.000961503
468,05/12/2017,13515,-0.000887508
469,06/12/2017,13524,0.000665705
470,07/12/2017,13552,0.002068253
471,08/12/2017,13556,0.000295116
472,11/12/2017,13546,-0.000737953
473,12/12/2017,13550,0.000295247
474,13/12/2017,13589,0.002874095
475,14/12/2017,13565,-0.001767696
476,15/12/2017,13573,0.000589579
477,18/12/2017,13584,0.000810104
478,19/12/2017,13587,0.000220824
479,20/12/2017,13579,-0.000588972
480,21/12/2017,13545,-0.002507006
481,22/12/2017,13558,0.000959303
482,27/12/2017,13562,0.000294985
483,28/12/2017,13560,-0.000147482
484,29/12/2017,13548,-0.000885348
485,02/01/2018,13542,-0.000442968
486,03/01/2018,13498,-0.003254441
487,04/01/2018,13474,-0.001779624
488,05/01/2018,13405,-0.005134131
489,08/01/2018,13397,-0.00059697
490,09/01/2018,13428,0.002311278
491,10/01/2018,13449,0.001562675
492,11/01/2018,13427,-0.001637149
493,12/01/2018,13362,-0.004852748
494,15/01/2018,13330,-0.002397723
495,16/01/2018,13333,0.000225031
496,17/01/2018,13323,-0.0007503
